No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
424,MUDAJYA-WA,5085WA,,0.06,0.065,-0.005,-7.69,3900,19028,0.055,0.06,1,0.06,0.06,5085WA
425,MATRIX [S],5236,s,2.24,2.25,-0.010,-0.44,3898,53,2.23,2.24,654,2.27,2.22,5236
426,THPLANT [S],5112,,0.64,0.65,-0.010,-1.54,3880,579,0.64,0.65,2000,0.66,0.64,5112
427,PANSAR-PA,8419PA,,0.42,0.42,-,-,3875,625,0.42,0.445,500,0.42,0.42,8419PA
428,SYSCORP [S],5173,,0.345,0.34,+0.005,+1.47,3789,4321,0.335,0.345,1647,0.345,0.34,5173
429,PRLEXUS-WB [S],8966WB,,0.14,0.145,-0.005,-3.45,3763,608,0.14,0.15,180,0.145,0.14,8966WB
430,TALAMT [S],2259,,0.02,0.02,-,-,3700,346018,0.02,0.025,144616,0.025,0.02,2259
431,VERTICE [S],7240,,0.245,0.24,+0.005,+2.08,3671,1355,0.24,0.245,163,0.25,0.235,7240
432,SLP [S],7248,,0.925,0.925,-,-,3645,140,0.895,0.925,99,0.935,0.885,7248
433,MFLOUR-WC [S],3662WC,,0.195,0.195,-,-,3610,240,0.19,0.195,51,0.195,0.195,3662WC
434,TOMYPAK [S],7285,,0.41,0.41,-,-,3519,2125,0.405,0.41,717,0.41,0.405,7285
435,KYM [S],8362,,0.4,0.41,-0.010,-2.44,3485,343,0.4,0.41,663,0.41,0.4,8362
436,SLVEST-WA [S],0215WA,,0.47,0.49,-0.020,-4.08,3434,212,0.47,0.48,199,0.49,0.465,0215WA
437,PRLEXUS [S],8966,,0.425,0.435,-0.010,-2.30,3424,692,0.425,0.445,150,0.44,0.425,8966
438,EWINT [S],5283,s,0.435,0.435,-,-,3399,3252,0.43,0.435,217,0.44,0.43,5283
439,ABLEGRP [S],7086,,0.125,0.125,-,-,3380,3345,0.12,0.125,2290,0.13,0.125,7086
440,YKGI [S],7020,,0.17,0.17,-,-,3345,2180,0.165,0.17,352,0.17,0.165,7020
441,XDL,5156,,0.04,0.04,-,-,3330,381548,0.04,0.045,149485,0.045,0.04,5156
442,VIZIONE-WD [S],7070WD,,0.025,0.025,-,-,3272,26,0.025,0.03,13468,0.025,0.025,7070WD
443,VIZIONE [S],7070,,0.095,0.1,-0.005,-5.00,3226,19856,0.095,0.1,3603,0.1,0.095,7070
444,MCEMENT [S],3794,s,2.34,2.34,-,-,3205,94,2.31,2.34,2,2.36,2.3,3794
445,ARBB-PA,7181PA,,0.03,0.035,-0.005,-14.29,3139,154,0.03,0.035,21315,0.035,0.03,7181PA
446,KPS [S],5843,,0.75,0.725,+0.025,+3.45,3135,160,0.735,0.75,172,0.755,0.725,5843
447,JERASIA,8931,,0.145,0.135,+0.010,+7.41,3113,47,0.145,0.15,1600,0.145,0.14,8931
448,SSTEEL,5665,,0.82,0.845,-0.025,-2.96,3087,100,0.815,0.82,15,0.845,0.8,5665
449,FIHB [S],8605,,0.645,0.645,-,-,3039,701,0.64,0.645,627,0.65,0.64,8605
450,FAJAR-WC [S],7047WC,,0.115,0.115,-,-,3024,7766,0.115,0.12,6510,0.115,0.115,7047WC
451,FPI [S],9172,s,3.51,3.6,-0.090,-2.50,2994,505,3.5,3.51,157,3.65,3.51,9172
452,OCK [S],0172,s,0.45,0.45,-,-,2954,2332,0.45,0.455,1139,0.455,0.45,0172
453,GREENYB [S],0136,,0.27,0.27,-,-,2905,2080,0.265,0.27,1035,0.27,0.27,0136
454,YB [S],5048,,0.445,0.455,-0.010,-2.20,2896,383,0.44,0.445,112,0.45,0.43,5048
455,VSTECS [S],5162,,1.18,1.2,-0.020,-1.67,2862,51,1.18,1.19,800,1.19,1.18,5162
