No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
1,AHB [S],7315,,0.29,0.255,+0.035,+13.73,1360475,2676,0.285,0.29,9044,0.295,0.25,7315
2,DNEX [S],4456,s,0.875,0.885,-0.010,-1.13,1303935,15100,0.87,0.875,14195,0.89,0.83,4456
3,PDZ [S],6254,,0.055,0.06,-0.005,-8.33,874187,59786,0.055,0.06,74576,0.065,0.05,6254
4,AGES [S],7145,,0.045,0.05,-0.005,-10.00,740047,616472,0.04,0.045,64957,0.05,0.04,7145
5,G3 [S],7184,,0.09,0.105,-0.015,-14.29,657446,470988,0.085,0.09,30,0.11,0.08,7184
6,OCR [S],7071,,0.185,0.135,+0.050,+37.04,582266,44897,0.18,0.185,32861,0.185,0.15,7071
7,CUSCAPI [S],0051,,0.405,0.36,+0.045,+12.50,546162,17438,0.4,0.405,19634,0.42,0.345,0051
8,INARI [S],0166,s,3.64,3.75,-0.110,-2.93,513799,404,3.62,3.64,1947,3.78,3.57,0166
9,TWL [S],7079,,0.07,0.075,-0.005,-6.67,431978,356398,0.065,0.07,133604,0.075,0.065,7079
10,TECHNAX [S],2739,,0.09,0.095,-0.005,-5.26,400874,142625,0.085,0.09,205184,0.095,0.08,2739
11,ATAIMS [S],8176,s,0.62,0.63,-0.010,-1.59,392163,3579,0.62,0.625,2097,0.655,0.62,8176
12,KAB [S],0193,s,0.3,0.255,+0.045,+17.65,373862,1246,0.3,0.305,3568,0.325,0.26,0193
13,TWL-WD [S],7079WD,,0.035,0.04,-0.005,-12.50,341628,317150,0.03,0.035,1800,0.04,0.035,7079WD
14,MYEG [S],0138,s,1.05,1.05,-,-,326115,20833,1.05,1.06,7393,1.06,1.03,0138
15,BPURI [S],5932,,0.055,0.05,+0.005,+10.00,320700,105690,0.05,0.055,156811,0.055,0.05,5932
16,TAWIN [S],7097,s,0.125,0.125,-,-,310157,49194,0.125,0.13,87367,0.13,0.12,7097
17,PBBANK,1295,s,4.23,4.18,+0.050,+1.20,309740,414,4.22,4.23,2506,4.23,4.17,1295
18,OCR-WD [S],7071WD,,0.015,0.005,+0.010,+200.00,287045,40633,0.01,0.015,465,0.02,0.005,7071WD
19,EKOVEST [S],8877,s,0.43,0.415,+0.015,+3.61,264277,18916,0.43,0.435,8033,0.44,0.41,8877
20,KAB-WA [S],0193WA,,0.05,0.045,+0.005,+11.11,263432,167224,0.045,0.05,90271,0.055,0.04,0193WA
21,DESTINI [S],7212,,0.215,0.2,+0.015,+7.50,252320,8591,0.215,0.22,10628,0.225,0.2,7212
22,CIMB,1023,s,5.62,5.67,-0.050,-0.88,219946,12,5.61,5.62,1859,5.66,5.58,1023
23,XDL,5156,,0.04,0.045,-0.005,-11.11,209805,400080,0.04,0.045,131000,0.05,0.04,5156
24,KOMARK [S],7017,,0.16,0.155,+0.005,+3.23,208202,31174,0.155,0.16,10779,0.17,0.155,7017
25,SAUDEE [S],5157,,0.07,0.075,-0.005,-6.67,207092,187354,0.07,0.075,35314,0.08,0.07,5157
26,TRIVE,118,,0.115,0.13,-0.015,-11.54,201773,18261,0.11,0.115,520,0.13,0.11,118
27,SWIFT [S],5303,,0.88,0.915,-0.035,-3.83,201151,500,0.87,0.88,8190,0.91,0.845,5303
28,BINTAI [S],6998,,0.17,0.175,-0.005,-2.86,200154,3475,0.17,0.175,29986,0.18,0.165,6998
29,KNM [S],7164,s,0.14,0.135,+0.005,+3.70,194000,115701,0.135,0.14,95865,0.14,0.13,7164
30,VELESTO [S],5243,s,0.13,0.125,+0.005,+4.00,193848,177849,0.125,0.13,42729,0.135,0.125,5243
31,ATECH [S],5302,,2.55,2.57,-0.020,-0.78,192487,7,2.55,2.56,120,2.64,2.36,5302
32,SUPERMX [S],7106,s,1.43,1.53,-0.100,-6.54,190508,701,1.43,1.44,538,1.53,1.41,7106
33,MBSB,1171,s,0.58,0.56,+0.020,+3.57,188468,4413,0.58,0.585,9174,0.585,0.56,1171
34,TOPGLOV [S],7113,s,2.43,2.5,-0.070,-2.80,171031,412,2.42,2.43,9,2.5,2.41,7113
35,DATAPRP [S],8338,,0.745,0.765,-0.020,-2.61,165356,381,0.745,0.75,2607,0.775,0.735,8338
36,AVI [S],8885,,0.1,0.105,-0.005,-4.76,164411,19850,0.095,0.1,14664,0.105,0.09,8885
37,HWGB [S],9601,,0.205,0.21,-0.005,-2.38,155309,2876,0.2,0.205,10426,0.215,0.2,9601
38,FRONTKN [S],128,s,3.67,3.77,-0.100,-2.65,142761,669,3.67,3.68,1164,3.83,3.57,128
39,AIRASIA [S],5099,s,0.77,0.78,-0.010,-1.28,139824,23474,0.765,0.77,8013,0.78,0.765,5099
40,NWP [S],5025,,0.26,0.26,-,-,134915,51585,0.255,0.26,27298,0.265,0.255,5025
41,MAYBANK,1155,s,8.5,8.34,+0.160,+1.92,134005,1,8.49,8.5,22072,8.5,8.32,1155
42,RGTBHD [S],9954,,0.705,0.66,+0.045,+6.82,133319,2622,0.7,0.705,337,0.71,0.66,9954
43,BSLCORP [S],7221,,0.85,0.885,-0.035,-3.95,127697,1430,0.85,0.86,120,0.91,0.765,7221
44,NCT [S],0056,,0.505,0.515,-0.010,-1.94,124582,9618,0.5,0.505,436,0.515,0.5,0056
45,RHBBANK,1066,s,5.78,5.46,+0.320,+5.86,123818,42,5.77,5.78,11180,5.85,5.49,1066
46,SAUDEE-WB [S],5157WB,,0.03,0.035,-0.005,-14.29,123785,119561,0.025,0.03,19088,0.03,0.025,5157WB
47,ECOFIRS [S],3557,,0.445,0.42,+0.025,+5.95,112630,45,0.445,0.45,3709,0.45,0.42,3557
48,AJIYA [S],7609,,1.17,1.08,+0.090,+8.33,109924,1142,1.17,1.18,2796,1.19,1.06,7609
49,BSLCORP-WA [S],7221WA,,0.235,0.24,-0.005,-2.08,109404,820,0.23,0.235,3140,0.255,0.21,7221WA
50,TANCO [S],2429,,0.205,0.225,-0.020,-8.89,104825,7951,0.2,0.21,1000,0.225,0.2,2429
51,PWORTH [S],7123,,0.1,0.105,-0.005,-4.76,102344,20886,0.095,0.1,322,0.115,0.095,7123
52,WZSATU [S],7245,,0.23,0.235,-0.005,-2.13,100024,28431,0.225,0.23,9718,0.24,0.225,7245
53,SAPNRG [S],5218,s,0.05,0.045,+0.005,+11.11,99989,1114442,0.045,0.05,263611,0.05,0.045,5218
54,MUHIBAH [S],5703,,0.68,0.62,+0.060,+9.68,99297,672,0.68,0.69,25,0.695,0.61,5703
55,KTB,4847,,0.21,0.22,-0.010,-4.55,98026,29194,0.205,0.21,355,0.225,0.21,4847
56,HIBISCS [S],5199,s,0.82,0.82,-,-,97768,3698,0.82,0.825,100,0.83,0.8,5199
57,VERSATL [S],4995,,0.675,0.68,-0.005,-0.74,95028,2134,0.67,0.675,137,0.7,0.605,4995
58,PERTAMA,8532,,0.63,0.62,+0.010,+1.61,92002,6550,0.625,0.63,18024,0.63,0.61,8532
59,KEYASIC,0143,,0.1,0.095,+0.005,+5.26,90327,21926,0.095,0.1,49728,0.1,0.095,0143
60,GREATEC [S],0208,s,5.88,6.21,-0.330,-5.31,88287,82,5.86,5.88,691,6.29,5.8,0208
61,ACME [S],7131,,0.205,0.23,-0.025,-10.87,84103,600,0.205,0.21,4007,0.225,0.2,7131
62,PMETAL [S],8869,s,6.02,5.88,+0.140,+2.38,82288,13,6.02,6.03,262,6.02,5.87,8869
63,AMBANK,1015,s,3.44,3.35,+0.090,+2.69,82087,1692,3.43,3.44,542,3.45,3.34,1015
64,KOSSAN [S],7153,s,2.04,2.09,-0.050,-2.39,81962,58,2.04,2.05,52,2.09,2.01,7153
65,D&O [S],7204,s,5.45,5.65,-0.200,-3.54,81243,54,5.43,5.45,13,5.75,5.36,7204
66,IWCITY [S],1589,,0.365,0.34,+0.025,+7.35,78322,256,0.365,0.37,3173,0.375,0.33,1589
67,PERMAJU [S],7080,,0.07,0.07,-,-,77507,112663,0.065,0.07,12632,0.07,0.065,7080
68,IMPIANA,7243,,0.06,0.06,-,-,76364,193148,0.055,0.06,187077,0.065,0.06,7243
69,HUBLINE-WC [S],7013WC,,0.01,0.01,-,-,76018,28056,0.01,0.015,66250,0.015,0.01,7013WC
70,EFORCE [S],0065,,0.59,0.61,-0.020,-3.28,75883,2070,0.59,0.595,1107,0.61,0.57,0065
71,CHEETAH [S],7209,,0.145,0.155,-0.010,-6.45,75208,16924,0.145,0.15,5909,0.155,0.145,7209
72,ARMADA,5210,s,0.485,0.475,+0.010,+2.11,75158,22805,0.48,0.485,11867,0.485,0.47,5210
73,BRAHIMS [S],9474,,0.105,0.1,+0.005,+5.00,74634,2450,0.1,0.105,1919,0.115,0.095,9474
74,YTL,4677,s,0.58,0.58,-,-,71640,18025,0.575,0.58,15238,0.585,0.575,4677
75,AIRASIA-WA [S],5099WA,,0.18,0.17,+0.010,+5.88,69843,3135,0.18,0.185,25034,0.185,0.17,5099WA
76,BORNOIL [S],7036,,0.025,0.03,-0.005,-16.67,69810,2537964,0.025,0.03,677932,0.03,0.025,7036
77,MI [S],5286,s,2.72,2.88,-0.160,-5.56,69653,1222,2.72,2.73,1087,2.91,2.69,5286
78,HPMT [S],5291,,0.675,0.725,-0.050,-6.90,69267,425,0.675,0.68,504,0.715,0.66,5291
79,AYS [S],5021,,0.64,0.655,-0.015,-2.29,67916,2240,0.635,0.64,2704,0.67,0.635,5021
80,CAREPLS [S],0163,s,1.01,1.05,-0.040,-3.81,66921,4476,1.01,1.02,100,1.06,1.01,0163
81,YONGTAI [S],7066,,0.13,0.13,-,-,66902,612,0.13,0.135,16111,0.135,0.125,7066
82,FRONTKN-WB [S],0128WB,,0.53,0.53,-,-,66411,167,0.53,0.535,930,0.54,0.51,0128WB
83,CNOUHUA,5188,,0.085,0.09,-0.005,-5.56,66303,23560,0.08,0.085,19738,0.085,0.075,5188
