No,Name,Code,REM,Last Done,LACP,CHG,%CHG,Vol ('00),BUY Vol ('00),BUY,SELL,SELL Vol ('00),HIGH,LOW,stock_id
709,EIG [S],5081,,0.365,0.38,-0.015,-3.95,373,3867,0.365,0.38,3098,0.365,0.365,5081
710,SEAL [S],4286,,0.29,0.29,-,-,358,1406,0.29,0.3,70,0.29,0.29,4286
711,KERJAYA-WB [S],7161WB,,0.11,0.11,-,-,357,300,0.105,0.11,1707,0.11,0.11,7161WB
712,MAGNI [S],7087,s,1.97,1.98,-0.010,-0.51,356,169,1.97,1.99,210,1.98,1.97,7087
713,SCOMIES [S],7045,,0.065,0.055,+0.010,+18.18,351,1840,0.06,0.065,1199,0.065,0.06,7045
714,ANZO-WB [S],9342WB,,0.025,0.025,-,-,350,1100,0.015,0.025,631,0.025,0.025,9342WB
715,INTA-WA [S],0192WA,,0.075,0.08,-0.005,-6.25,350,93,0.075,0.08,125,0.08,0.075,0192WA
716,ATTA [S],7099,,0.45,0.4,+0.050,+12.50,340,401,0.405,0.44,45,0.45,0.4,7099
717,GDB-WA [S],0198WA,,0.12,0.115,+0.005,+4.35,340,2130,0.115,0.12,2196,0.12,0.115,0198WA
718,SEB,5163,,1.18,1.2,-0.020,-1.67,337,276,1.18,1.24,170,1.21,1.18,5163
719,IGBB,5606,s,1.97,1.97,-,-,336,82,1.97,1.98,20,1.99,1.97,5606
720,HCK [S],7105,s,2.15,2.15,-,-,330,25,2.12,2.15,230,2.15,2.15,7105
721,LBICAP,8494,,0.6,0.575,+0.025,+4.35,330,85,0.585,0.605,49,0.605,0.6,8494
722,DKSH [S],5908,,4.81,4.79,+0.020,+0.42,329,50,4.74,4.81,7,4.81,4.7,5908
723,PRTASCO [S],5070,,0.215,0.215,-,-,329,871,0.215,0.22,1488,0.215,0.215,5070
724,MASTER [S],7029,,1.7,1.72,-0.020,-1.16,326,10,1.69,1.7,95,1.72,1.69,7029
725,WTHORSE [S],5009,,0.645,0.635,+0.010,+1.57,323,4,0.645,0.66,50,0.66,0.645,5009
726,Y&G [S],7003,,1.27,1.3,-0.030,-2.31,315,60,1.27,1.29,8,1.3,1.27,7003
727,ALLIANZ,1163,s,12.96,12.92,+0.040,+0.31,310,5,12.84,12.98,12,13.0,12.82,1163
728,CRESBLD [S],8591,,0.54,0.535,+0.005,+0.93,310,300,0.525,0.54,293,0.545,0.535,8591
729,FAVCO [S],7229,s,2.44,2.44,-,-,310,48,2.43,2.45,125,2.44,2.44,7229
730,MUH [S],9539,,0.605,0.605,-,-,310,179,0.605,0.64,50,0.61,0.605,9539
731,CHINTEK,1929,,7.15,7.1,+0.050,+0.70,306,300,7.14,7.15,30,7.15,7.12,1929
732,NESTLE [S],4707,s,132.4,132.0,+0.400,+0.30,302,2,131.8,132.4,15,132.5,131.7,4707
733,SERNKOU-WA [S],7180WA,,0.55,0.555,-0.005,-0.90,301,59,0.545,0.565,55,0.55,0.545,7180WA
734,OMESTI [S],9008,,0.4,0.41,-0.010,-2.44,300,831,0.4,0.405,50,0.405,0.4,9008
735,PARKWD [S],2682,,0.2,0.19,+0.010,+5.26,300,1570,0.185,0.2,450,0.2,0.19,2682
736,SWSCAP [S],7186,,0.4,0.405,-0.005,-1.23,300,383,0.395,0.405,101,0.41,0.4,7186
737,ASIAFLE,7129,,2.19,2.24,-0.050,-2.23,295,198,2.19,2.22,200,2.2,2.19,7129
738,AWC-WA [S],7579WA,,0.155,0.17,-0.015,-8.82,290,56,0.155,0.16,190,0.16,0.155,7579WA
739,GETS [S],5079,s,1.27,1.28,-0.010,-0.78,284,50,1.24,1.27,130,1.29,1.2,5079
740,KESM [S],9334,s,12.6,12.6,-,-,283,46,12.6,12.7,10,12.92,12.5,9334
741,TEKSENG [S],7200,,0.435,0.425,+0.010,+2.35,271,315,0.43,0.435,659,0.435,0.425,7200
742,CCB [S],2925,,2.04,2.04,-,-,265,69,2.04,2.1,30,2.04,2.04,2925
743,PETRONM [S],3042,s,4.39,4.38,+0.010,+0.23,265,58,4.35,4.39,47,4.39,4.35,3042
744,MCEHLDG [S],7004,,1.27,1.28,-0.010,-0.78,260,84,1.26,1.27,1,1.27,1.25,7004
745,PARAGON [S],9407,,1.47,1.46,+0.010,+0.68,250,260,1.46,1.54,50,1.47,1.47,9407
746,VERTICE-WA [S],7240WA,,0.105,0.105,-,-,250,200,0.08,0.1,1000,0.115,0.095,7240WA
747,SURIA [S],6521,,1.21,1.2,+0.010,+0.83,248,92,1.19,1.21,355,1.21,1.19,6521
748,KHIND [S],7062,,3.92,3.88,+0.040,+1.03,245,8,3.88,3.92,1,3.95,3.88,7062
749,UNIMECH [S],7091,,1.37,1.4,-0.030,-2.14,244,30,1.39,1.43,50,1.38,1.37,7091
750,MPCORP [S],6548,,0.1,0.09,+0.010,+11.11,241,50,0.095,0.11,400,0.105,0.1,6548
751,PTARAS [S],9598,,2.75,2.75,-,-,233,49,2.75,2.77,149,2.78,2.75,9598
752,ENRA [S],8613,,0.85,0.855,-0.005,-0.58,231,210,0.815,0.87,5,0.855,0.85,8613
753,AMTEL [S],7031,,0.745,0.745,-,-,224,200,0.73,0.75,179,0.745,0.725,7031
754,MSNIAGA [S],5011,,1.5,1.5,-,-,216,34,1.5,1.57,40,1.51,1.5,5011
755,BKAWAN [S],1899,,22.82,22.7,+0.120,+0.53,214,10,22.74,22.82,32,22.82,22.7,1899
756,PBA [S],5041,,0.805,0.815,-0.010,-1.23,210,2,0.805,0.82,100,0.805,0.805,5041
