No,Name,Last Done,Open,CHG,%CHG,HIGH,LOW
1,FBMKLCI,1564.29,1549.01,14.12,0.91,1564.29,1546.19
2,FBMT100,10986.77,10918.75,63.52,0.58,10986.77,10886.31
3,FBM70,14149.01,14232.39,-73.35,-0.52,14244.94,14101.34
4,FBMSCAP,15860.99,15917.4,-57.84,-0.36,15919.38,15795.9
5,FBMEMAS,11287.57,11227.17,56.88,0.51,11287.57,11192.94
6,CONSTRUCTION,153.81,154.0,-0.12,-0.08,154.26,153.11
7,CONSUMER PRODUCTS & SERVICES,580.75,576.79,2.97,0.51,580.75,576.42
8,ENERGY,728.35,725.93,4.6,0.64,728.43,720.39
9,F4GBM,880.77,873.4,7.02,0.8,880.77,871.46
10,F4GBMS,959.24,956.53,3.03,0.32,959.24,951.73
11,FA40,10388.88,10332.01,73.54,0.71,10392.84,10313.3
12,FBMACE,6616.67,6770.1,-137.22,-2.03,6770.1,6568.38
13,FBMAPMYR,16330.87,16242.03,88.19,0.54,16371.45,16101.03
14,FBMAPUSD,11212.02,11127.12,81.8,0.73,11234.52,11051.58
15,FBMFLG,20669.99,20807.03,-165.66,-0.8,20807.03,20573.5
16,FBMHIJRAH,12555.55,12483.53,71.66,0.57,12555.55,12432.98
17,FBMMSCAP,19270.47,19327.77,-38.48,-0.2,19327.77,19173.46
18,FBMMSCS,19078.45,19126.83,-26.49,-0.14,19126.85,18973.95
19,FBMPALMOIL-NC,10819.99,10733.9,84.27,0.78,10819.99,10656.96
20,FBMSHA,12036.37,12033.76,9.73,0.08,12036.37,11951.15
21,FINANCIAL SERVICES,16177.13,15859.12,310.8,1.96,16177.13,15844.5
22,HEALTH CARE,2292.96,2333.85,-44.23,-1.89,2333.85,2283.3
23,INDUSTRIAL PRODUCTS & SERVICES,203.51,202.97,0.57,0.28,203.54,202.03
24,PLANTATION,6768.62,6731.51,37.73,0.56,6768.62,6700.86
25,PROPERTY,710.05,709.49,0.05,0.01,710.84,706.4
26,REIT,787.34,786.3,1.35,0.17,787.52,783.82
27,TECHNOLOGY,90.65,93.4,-2.59,-2.78,93.79,89.95
28,TELECOMMUNICATIONS & MEDIA,636.67,634.84,2.53,0.4,636.67,631.37
29,TRANSPORTATION & LOGISTICS,864.42,868.12,-3.2,-0.37,868.7,860.37
30,UTILITIES,870.96,872.03,0.25,0.03,873.83,868.24
